archivo_foto,tipo,nombre,direccion
D29.jpg,drogueria,Cruz Verde Chicó,Carrera 15 # 95 - 84
D30.jpg,drogueria,Cruz Verde Pontevedra,Calle 116 # 71B - 04
D34.jpg,drogueria,Cruz Verde Calle 127,Avenida Calle 127 # 21 - 60 Local 101
D36.jpg,drogueria,Cruz Verde CAE,Autopista Norte # 108A - 50
D39.jpg,drogueria,Cruz Verde Cedro Bolívar,Avenida 19 # 151 - 75
D41.jpg,drogueria,Cruz Verde Calle 80,Carrera 89 A # 80 - 14
D43.jpg,drogueria,Cruz Verde Avenida Las Villas,Carrera 58 # 137B - 12
D45.jpg,drogueria,Cruz Verde Tunal,Calle 47 B sur # 24B – 33 Entrada 8 piso 2 Centro Comercial Ciudad Tunal
D46.jpg,drogueria,Cruz Verde Carrera 15,Carrera 15 # 82 - 68
D47.jpg,drogueria,Cruz Verde Calle 72,Calle 71 A # 5 - 90
D48.jpg,drogueria,Cruz Verde Zona In,Calle 13 # 65 - 21 Centro Comercial Zona IN
D49.jpg,drogueria,Cruz Verde Restrepo Carrera 17,Carrera 17 # 17 - 31 sur
D50.jpg,drogueria,Cruz Verde Suba,Carrera 91 # 139 - 34 Local 3 Centro Comercial Suba 91
D51.jpg,drogueria,Cruz Verde Santa Bárbara,Autopista Norte # 123 - 14
D53.jpg,drogueria,Cruz Verde Palermo,Carrera 22 # 45 c - 44
D54.jpg,drogueria,Cruz Verde Calle 106,Autopista Norte # 106 - 74
D55.jpg,drogueria,Cruz Verde Quinta Paredes,Carrera 46 # 22 B - 20
D56.jpg,drogueria,Cruz Verde Plaza de las Américas,Carrera 71D # 6 – 94 Sur Local 1922 Centro Comercial Plaza de las Américas
D61.jpg,drogueria,Cruz Verde Calle 97,Calle 97 # 23 – 60 Local 5 Edificio Proksol
D64.jpg,drogueria,Cruz Verde Parque Fontibón,Carrera 99 # 18 A 16
D65.jpg,drogueria,Cruz Verde Calle 54,Carrera 13 # 54 – 84 / 86
D66.jpg,drogueria,Cruz Verde Centro Internacional,Carrera 13 # 26 –71 Centro Internacional Locales 103 y 104
D68.jpg,drogueria,Cruz Verde Usaquén,Carrera 7 # 120 A - 49
D69.jpg,drogueria,Cruz Verde Toberín,Calle 166 # 20 - 18
D71.jpg,drogueria,Cruz Verde Puente Aranda,Calle 14 # 62 - 18
D72.jpg,drogueria,Cruz Verde Kennedy Central,Calle 40 Sur # 73 D - 41
D73.jpg,drogueria,Cruz Verde Uap 104,Carrera 19 # 104 - 37 Local 2
D78.jpg,drogueria,Cruz Verde Acomédica,Calle 127 # 19 A 28 Auditorio 1
D79.jpg,drogueria,Cruz verde Carrera 90,Carrera 90 A # 76 A 74
D80.jpg,drogueria,Cruz Verde Calle 40,Carrera 13 No. 40b - 74 Lc 3
D81.jpg,drogueria,Cruz Verde Ecotower Navarra,Calle 100 # 23-10
D88.jpg,drogueria,Cruz Verde Restrepo,Carrera 18 # 16 - 46 / 56 sur
D91.jpg,drogueria,Cruz Verde Belmira,Calle 140 # 7 B - 23 Local 102
D95.jpg,drogueria,Cruz Verde Salitre,Calle 23B # 66 - 46 Edificio de Consultorios Clínica Colombia
D99.jpg,drogueria,Cruz verde Calle 114,Autopista Norte # 114 - 44 local 8
D106.jpg,drogueria,Cruz Verde Calle 27,Carrera 7 # 27-80 Lc 4 Ed. Ibiss
D107.jpg,drogueria,Cruz Verde Ciudad Montes,Calle 8 sur # 39 - 05
D108.jpg,drogueria,Cruz Verde CC Titan Plaza 2,Av. Boyacá # 80 94 Local 1 24
D111.jpg,drogueria,Cruz Verde Valparaíso,Calle 72 # 10 - 87
D112.jpg,drogueria,Cruz Verde Quirigua,Transversal 94 # 80 A - 49
D113.jpg,drogueria,Cruz Verde Universidad Nacional,Avenida Carrera 30 # 48 - 30
D114.jpg,drogueria,Cruz Verde Rincon del Chicó,Carrera 15 # 94 - 38
D117.jpg,drogueria,Cruz Verde Jumbo Calle 80,Avenida Calle 80 # 69 Q - 50
D119.jpg,drogueria,Cruz Verde Jumbo Santa Ana,Calle 110 # 9B- 04
D120.jpg,drogueria,Cruz Verde Jumbo Hayuelos,Carrera 84 # 26 - 50
D123.jpg,drogueria,Cruz Verde Ilarco,Avenida Suba # 115 - 58 Torre A Local 103
D125.jpg,drogueria,Cruz Verde Avenida El Dorado,Calle 26 # 39 - 35
D127.jpg,drogueria,Cruz Verde Medical Center,Avenida Carrera 9 # 127 B - 16
D132.jpg,drogueria,Cruz Verde Country Urgencias,Calle 83 #16 A 10
D136.jpg,drogueria,Cruz verde Quiroga,Calle 32 Sur No. 22 -15
D138.jpg,drogueria,Cruz Verde Centum Calle 100,Calle 100 # 49 - 25
D140.jpg,drogueria,Cruz Verde Calle 67,Calle 67 # 7 - 98
D142.jpg,drogueria,Cruz verde Calle 13,Calle 13 No. 62 - 96
D154.jpg,drogueria,Cruz Verde Orquideas,Calle 161 # 19-10
D168.jpg,drogueria,Cruz Verde Jumbo Suba,Calle 146A # 106 - 20
D170.jpg,drogueria,Cruz verde Restrepo Calle 16 Sur,Calle 16 Sur No. 17 - 25
D186.jpg,drogueria,Cruz Verde Las Nieves,Calle 21 No 6 - 37
P0.jpg,prestador,Centro Médico Colsanitas El Nogal,Carrera 7 # 73-70
P1.jpg,prestador,Centro Médico Colsanitas Calleja,Av. Calle 127 No. 20-16
P2.jpg,prestador,Centro Médico Colsanitas Calle 96,Carrera 14 No. 96-22
P3.jpg,prestador,Centro Médico Colina Campestre,Cra. 59 No. 152 -19
